NomDirigeant,Poste
AXEL DUMAS,Gérant d'Hermès International
FLORIAN CRAEN,Directeur général commercial
CHARLOTTE DAVID,Directrice générale de la communication
PIERRE-ALEXIS DUMAS,Directeur artistique général
OLIVIER FOURNIER,Directeur général gouvernance et développement des organisations
WILFRIED GUERRAND,"Directeur général métiers, systèmes d'information et data"
ERIC DU HALGOUËT,Directeur général finances
SHARON MACBEATH,Directrice des ressources humaines groupe
GUILLAUME DE SEYNES,Directeur général pôle Amont et Participations
AGNÈS DE VILLERS,"Directeur général des métiers Maroquinerie, Sellerie, Horizons, IDO et petit h"
